step,action,ucb_score,objective_before,objective_after,reward,accepted,moves,feasible,action_runtime_sec,cumulative_runtime_sec,context,termination_reason,profile,method,instance,instance_seed,construction_source
8,two_opt,0.7138025298438639,427.89143839583767,427.89143839583767,0.0,False,0,True,0.00033354200058965944,0.005328749000909738,"{'instance': 'synthetic_evrptw_n20_seed20280815_baseline', 'scale': 20, 'seed': 20280815, 'source': 'composite'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280815_baseline,20280815,composite
9,relocate,0.6141795307925098,427.89143839583767,427.89143839583767,0.0,False,0,True,0.0009652080007072072,0.0062939570016169455,"{'instance': 'synthetic_evrptw_n20_seed20280815_baseline', 'scale': 20, 'seed': 20280815, 'source': 'composite'}",patience,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280815_baseline,20280815,composite
0,two_opt,,417.4408245466196,417.4408245466196,0.0,False,0,True,0.00036616700162994675,0.00036616700162994675,"{'instance': 'synthetic_evrptw_n20_seed20280816_baseline', 'scale': 20, 'seed': 20280816, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280816_baseline,20280816,nearest
1,relocate,,417.4408245466196,415.7194350341842,0.004123673132125941,True,1,True,0.0011902080004801974,0.0015563750021101441,"{'instance': 'synthetic_evrptw_n20_seed20280816_baseline', 'scale': 20, 'seed': 20280816, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280816_baseline,20280816,nearest
2,swap,,415.7194350341842,415.7194350341842,0.0,False,0,True,0.000380000001314329,0.001936375003424473,"{'instance': 'synthetic_evrptw_n20_seed20280816_baseline', 'scale': 20, 'seed': 20280816, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280816_baseline,20280816,nearest
3,relocate,0.7378266249098694,415.7194350341842,415.7194350341842,0.0,False,0,True,0.001099249999242602,0.003035625002667075,"{'instance': 'synthetic_evrptw_n20_seed20280816_baseline', 'scale': 20, 'seed': 20280816, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280816_baseline,20280816,nearest
4,two_opt,0.8241870157608322,415.7194350341842,415.7194350341842,0.0,False,0,True,0.00032095799906528555,0.0033565830017323606,"{'instance': 'synthetic_evrptw_n20_seed20280816_baseline', 'scale': 20, 'seed': 20280816, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280816_baseline,20280816,nearest
5,swap,0.8880453688256637,415.7194350341842,415.7194350341842,0.0,False,0,True,0.0003736669968930073,0.003730249998625368,"{'instance': 'synthetic_evrptw_n20_seed20280816_baseline', 'scale': 20, 'seed': 20280816, 'source': 'nearest'}",patience,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280816_baseline,20280816,nearest
0,two_opt,,427.23029285961275,427.23029285961275,0.0,False,0,True,0.0003713749974849634,0.0003713749974849634,"{'instance': 'synthetic_evrptw_n20_seed20280816_baseline', 'scale': 20, 'seed': 20280816, 'source': 'composite'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280816_baseline,20280816,composite
1,relocate,,427.23029285961275,419.1816851972392,0.01883903786059087,True,3,True,0.0009928749968821649,0.0013642499943671282,"{'instance': 'synthetic_evrptw_n20_seed20280816_baseline', 'scale': 20, 'seed': 20280816, 'source': 'composite'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280816_baseline,20280816,composite
2,swap,,419.1816851972392,407.6240044690671,0.02757200788181817,True,1,True,0.0003770830007852055,0.0017413329951523338,"{'instance': 'synthetic_evrptw_n20_seed20280816_baseline', 'scale': 20, 'seed': 20280816, 'source': 'composite'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280816_baseline,20280816,composite
3,swap,0.7612749596595616,407.6240044690671,407.6240044690671,0.0,False,0,True,0.0004105830012122169,0.0021519159963645507,"{'instance': 'synthetic_evrptw_n20_seed20280816_baseline', 'scale': 20, 'seed': 20280816, 'source': 'composite'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280816_baseline,20280816,composite
